name,type,A100_status,execution_mode,default_action
KernelBench,benchmark,ready,integrated,run
TritonBench,benchmark,ready_with_inputs,native,configure_then_run
robust-kbench,benchmark,separate_python311,separate_env,probe
CUDABench,benchmark,ready_with_config,native,configure_then_run
FlashInfer-Bench,benchmark,conditional_trace_and_gpu,native,probe
KernelGYM,benchmark,heavy_but_supported,native_distributed,probe
KernelBench-X,benchmark,ready_with_config,native,configure_then_run
AgentKernelArena,benchmark,unsupported_A100,AMD_ROCm,skip_with_reason
CudaForge,method,ready,KernelBench_matrix,run
AutoKernel,method,ready,KernelBench_matrix,run
K-Search,method,optional,KernelBench_or_FlashInfer,audit
CUDA-L1,method,ready,official_A100_artifact,run
CUDA-L2,method,ready,official_A100_HGEMM_artifact,run_native_smoke_or_subset
AutoTriton,method,ready,official_checkpoint,run
DrKernel,method,ready,official_checkpoint,run
KernelLLM,method,ready,official_8B_checkpoint,run_KernelBench_Triton_adapter
QiMeng-GEMM,method,ready,official_CUDA_artifact,run_native
QiMeng-TensorOp,method,unsupported_A100_public_artifact,C920V2_only,skip_with_reason
QiMeng-Attention,method,ready_with_repo_command,official_A100_repo,probe_then_run
QiMeng-Kernel,method,checkpoint_and_dataset_required,official_repo_active_development,audit_or_run_when_configured
GEAK,method,unsupported_A100,AMD_ROCm,skip_with_reason
CUDA-Agent,method,checkpoint_not_verified_public,artifact_environment,skip_with_reason
KernelAgent,method,API_provider_required,official_repo,audit
